idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
19548,ag2106,long_open,5871.0,5872.0,5,5872.0,4.35,13:58:00.000,13:58:00.000,0.0,0.0,2021-02-01
20027,ag2106,long_close,5864.0,5864.0,5,5872.0,4.35,13:58:00.000,14:02:00.000,240.0,-604.35,2021-02-01
30663,ag2106,short_open,6019.0,6018.0,5,6018.0,4.5,21:31:00.000,21:31:00.000,0.0,0.0,2021-02-02
30903,ag2106,short_close,6028.0,6029.0,5,6018.0,4.5,21:31:00.000,2021-02-01 21:33:00.000,120.0,-829.5,2021-02-02
4886,ag2106,long_open,5573.0,5573.5,5,5573.5,4.2,09:41:00.000,09:41:00.000,0.0,0.0,2021-02-04
5125,ag2106,long_close,5566.0,5566.0,5,5573.5,4.2,09:41:00.000,09:43:00.000,120.0,-566.7,2021-02-04
13619,ag2106,long_open,5520.0,5520.0,5,5520.0,4.2,11:09:00.000,11:09:00.000,0.0,0.0,2021-02-04
14329,ag2106,long_close,5513.0,5513.0,5,5520.0,4.2,11:09:00.000,11:15:00.000,360.0,-529.2,2021-02-04
35399,ag2106,short_open,5614.0,5613.0,5,5613.0,4.2,22:11:00.000,22:11:00.000,0.0,0.0,2021-02-04
35997,ag2106,short_close,5607.0,5608.0,5,5613.0,4.2,22:11:00.000,2021-02-03 22:16:00.000,300.0,370.79999999999995,2021-02-04
27969,ag2106,long_open,5521.0,5522.0,5,5522.0,4.1499999999999995,21:12:00.000,21:12:00.000,0.0,0.0,2021-02-05
28509,ag2106,long_close,5514.0,5514.0,5,5522.0,4.1499999999999995,21:12:00.000,21:16:30.000,270.0,-604.15,2021-02-05
19591,ag2106,short_open,5575.0,5575.0,5,5575.0,4.2,14:01:00.000,14:01:00.000,0.0,0.0,2021-02-08
20458,ag2106,short_close,5582.0,5583.0,5,5575.0,4.2,14:01:00.000,2021-02-08 14:08:30.000,450.0,-604.2,2021-02-08
20194,ag2106,short_open,5643.0,5642.0,5,5642.0,4.3,14:08:00.000,14:08:00.000,0.0,0.0,2021-02-09
20369,ag2106,short_close,5634.0,5635.0,5,5642.0,4.3,14:08:00.000,2021-02-09 14:09:30.000,90.0,520.7,2021-02-09
28589,ag2106,short_open,5645.0,5645.0,5,5645.0,4.25,21:22:00.000,21:22:00.000,0.0,0.0,2021-02-10
29542,ag2106,short_close,5655.0,5655.0,5,5645.0,4.25,21:22:00.000,2021-02-09 21:30:00.000,480.0,-754.25,2021-02-10
29603,ag2106,long_open,5617.0,5618.0,5,5618.0,4.25,21:26:00.000,21:26:00.000,0.0,0.0,2021-02-19
30019,ag2106,long_close,5623.0,5623.5,5,5618.0,4.25,21:26:00.000,21:29:30.000,210.0,408.25,2021-02-19
6346,ag2106,short_open,5739.0,5738.0,5,5738.0,4.35,09:53:00.000,09:53:00.000,0.0,0.0,2021-02-22
7948,ag2106,short_close,5724.0,5724.0,5,5738.0,4.35,09:53:00.000,2021-02-22 10:06:30.000,810.0,1045.65,2021-02-22
14847,ag2106,long_open,5835.0,5837.0,5,5837.0,4.4,11:20:00.000,11:20:00.000,0.0,0.0,2021-02-23
14967,ag2106,long_close,5826.0,5826.0,5,5837.0,4.4,11:20:00.000,11:21:00.000,60.0,-829.4,2021-02-23
14166,ag2106,long_open,5844.0,5844.0,5,5844.0,4.4,11:14:00.000,11:14:00.000,0.0,0.0,2021-02-25
14287,ag2106,long_close,5849.0,5848.0,5,5844.0,4.4,11:14:00.000,11:15:00.500,60.0,295.59999999999997,2021-02-25
21009,ag2106,short_open,5825.0,5825.0,5,5825.0,4.4,14:13:00.000,14:13:00.000,0.0,0.0,2021-02-25
21249,ag2106,short_close,5816.0,5817.0,5,5825.0,4.4,14:13:00.000,2021-02-25 14:15:00.000,120.0,595.6,2021-02-25
26507,ag2106,short_open,5808.0,5806.0,5,5806.0,4.4,14:59:00.000,14:59:00.000,0.0,0.0,2021-02-25
26628,ag2106,short_close,5779.0,5780.0,5,5806.0,4.4,14:59:00.000,2021-02-24 21:00:00.500,21660.0,1945.6,2021-02-25
36578,ag2106,short_open,5722.0,5722.0,5,5722.0,4.4,22:23:00.000,22:23:00.000,0.0,0.0,2021-02-25
36699,ag2106,short_close,5717.0,5716.5,5,5722.0,4.4,22:23:00.000,2021-02-24 22:24:00.500,60.0,408.1,2021-02-25
1919,ag2106,short_open,5657.0,5655.0,5,5655.0,4.35,09:16:00.000,09:16:00.000,0.0,0.0,2021-02-26
1979,ag2106,short_close,5645.0,5645.0,5,5655.0,4.35,09:16:00.000,2021-02-26 09:16:30.000,30.0,745.65,2021-02-26
19696,ag2106,long_open,5558.0,5558.0,5,5558.0,4.35,14:01:00.000,14:01:00.000,0.0,0.0,2021-02-26
19937,ag2106,long_close,5563.0,5562.0,5,5558.0,4.35,14:01:00.000,14:03:00.500,120.0,295.65000000000003,2021-02-26
26285,ag2106,short_open,5548.0,5546.0,5,5546.0,4.35,14:56:00.000,14:56:00.000,0.0,0.0,2021-02-26
26406,ag2106,short_close,5555.0,5555.0,5,5546.0,4.35,14:56:00.000,2021-02-26 14:57:00.500,60.0,-679.35,2021-02-26
